signal_id,company_domain,keyword_topic,intent_score,surge_level,signal_dt,source
INT-SE745031V5,truenorth-industries-1.com,identity security,52,med,2024-09-03T04:37:51.131511,6sense
INT-R2HS55GBT6,ironclad-motors.com,Zscaler,93,high,2025-05-12T18:11:30.131511,6sense
INT-V2PCWNZ86C,ironclad-capital-1.com,enterprise browser security,61,med,2023-01-05T13:49:21.131511,6sense
INT-5XZT7BC1AS,summit-insurance.com,Netskope,51,med,2023-11-14T10:29:22.131511,6sense
INT-H5NNO1XPXL,maple-insurance.com,zero trust,53,med,2023-05-17T03:02:33.131511,6sense
INT-KPAWTQNM6B,costco.com,enterprise browser security,29,low,2023-05-13T04:11:38.131511,6sense
INT-5BYKRT9J49,kia.com,CrowdStrike,24,low,2024-01-14T19:05:00.131511,6sense
INT-FMCQLS8MJ9,lighthouse-ventures-1.com,zero trust,10,low,2024-10-04T16:22:48.131511,6sense
INT-T2AU1N3PVJ,horizon-insurance-2.com,DLP,53,med,2023-09-13T05:39:26.131511,6sense
INT-4IZ72YADMF,crescent-aerospace.com,Netskope,43,med,2024-01-25T10:17:09.131511,6sense
INT-24TYHKBLFX,greenleaf-industries.com,CrowdStrike,85,high,2023-02-02T12:22:11.131511,6sense
INT-USI957XYMY,redwood-motors-1.com,insider risk,99,high,2024-03-02T08:06:23.131511,6sense
INT-4901PK045D,truenorth-materials-1.com,CASB,80,high,2023-03-14T15:49:27.131511,6sense
INT-4ZCKI66ZBR,oakridge-motors.com,Talon,86,high,2024-05-19T22:04:22.131511,6sense
INT-2DIPZV95C5,hyundai.com,data loss prevention,82,high,2023-06-09T15:55:17.131511,6sense
INT-JZX0IH88TX,blueriver-aerospace.com,zero trust,70,high,2025-09-25T19:34:02.131511,6sense
INT-OP3972K1WC,onyx-industries-2.com,insider risk,78,high,2024-04-02T18:57:48.131511,6sense
INT-3G875K3ZPY,atlassian.com,insider risk,16,low,2022-11-17T13:16:45.131511,6sense
INT-2FQ2P4U9GO,onyx-retail-2.com,Island,62,med,2023-09-27T08:03:17.131511,6sense
INT-9XYSABM96C,vertex-ventures.com,Talon,26,low,2024-03-26T06:46:13.131511,6sense
INT-GMS6REI5GK,greenleaf-studios-1.com,Netskope,48,med,2023-12-10T10:35:06.131511,6sense
INT-NIVVG32TC9,redwood-retail.com,Netskope,14,low,2024-06-16T12:47:31.131511,6sense
INT-H882G69VQB,silverline-mining-1.com,data loss prevention,44,med,2023-02-02T03:52:49.131511,6sense
INT-XRPPHZELP2,instacart.com,enterprise browser security,91,high,2024-07-02T23:13:41.131511,6sense
INT-C74TO0JFTM,hyperion-analytics-3.com,Netskope,60,med,2023-08-22T17:55:30.131511,6sense
INT-P7ITAOQLFC,onyx-energy-1.com,CrowdStrike,27,low,2024-01-12T18:28:32.131511,6sense
INT-T5LE5NKH2M,ironclad-biotech.com,data loss prevention,57,med,2023-08-19T06:19:21.131511,6sense
INT-8HTEE6XJSL,quantum-logistics-1.com,CrowdStrike,61,med,2023-04-19T00:34:30.131511,6sense
INT-Y9A3OXO6C5,clearview-ventures-2.com,data loss prevention,30,low,2023-06-17T19:20:39.131511,6sense
INT-25JD7N9MBN,quantum-holdings.com,zero trust,21,low,2024-09-26T06:21:41.131511,6sense
INT-VKN1N9YPBM,snowflake.com,zero trust,54,med,2023-07-01T08:00:48.131511,6sense
INT-4E8OCXE1XE,hyperion-studios-2.com,Zscaler,20,low,2023-05-25T00:38:35.131511,6sense
INT-7CF51D7TYF,primegate-industries.com,CrowdStrike,94,high,2025-03-20T05:36:43.131511,6sense
INT-16T0GK5QLN,silverline-aerospace-1.com,DLP,40,med,2023-06-08T22:25:01.131511,6sense
INT-6C6L2J5YEA,best-buy.com,Island,60,med,2024-04-01T13:45:08.131511,6sense
INT-QEEYS8FXCW,clearview-motors.com,insider risk,52,med,2023-04-24T03:13:59.131511,6sense
INT-SSX14A78EO,clearview-ventures.com,enterprise browser security,18,low,2023-04-04T07:07:02.131511,6sense
INT-ILZHCC5HE8,oakridge-energy.com,identity security,73,high,2025-01-29T20:28:50.131511,6sense
INT-C8JJ4HHL9F,silverline-biotech-2.com,data loss prevention,35,low,2023-10-23T13:00:20.131511,6sense
INT-B87LNFXH91,everest-ventures.com,Island,72,high,2025-04-06T13:02:40.131511,6sense
INT-QUE1YX0RXU,primegate-pharma-1.com,enterprise browser security,31,low,2024-02-24T08:57:44.131511,6sense
INT-33UQ61W3SG,everest-energy-3.com,insider risk,19,low,2023-08-16T23:30:05.131511,6sense
INT-6HV9E8TFPR,lighthouse-materials.com,Zscaler,30,low,2023-09-17T00:32:55.131511,6sense
INT-AOU3K4Y3CN,blueriver-capital-2.com,Island,33,low,2025-10-06T12:58:31.131511,6sense
INT-IS45KZVKXA,aurora-hotels-1.com,insider risk,16,low,2023-01-21T07:51:36.131511,6sense
INT-5326PR67TE,silverline-retail-1.com,Island,58,med,2023-09-24T16:15:16.131511,6sense
INT-6YAHTYTGPW,electronic-arts.com,data loss prevention,71,high,2024-06-06T14:17:14.131511,6sense
INT-J3WZFI04OM,ironclad-partners.com,zero trust,37,low,2025-01-18T22:01:40.131511,6sense
INT-K62REBNXYC,aurora-studios-1.com,Island,37,low,2025-06-10T06:02:05.131511,6sense
INT-22GW9TA4ZR,redwood-partners-1.com,Island,55,med,2025-05-18T00:40:32.131511,6sense
INT-H8DZPN20TR,zenith-ventures-2.com,data loss prevention,78,high,2025-02-16T19:14:53.131511,6sense
INT-I5D289J8WX,blueriver-insurance.com,CASB,13,low,2023-07-29T18:07:20.131511,6sense
INT-XTZ2AOW1PQ,onyx-systems.com,insider risk,12,low,2022-10-25T03:23:48.131511,6sense
INT-WOH8XHCZ1R,greenleaf-aerospace-2.com,CASB,42,med,2025-03-20T02:33:47.131511,6sense
INT-VG1ZXYC73B,northstar-telecom.com,CASB,45,med,2025-06-11T11:46:25.131511,6sense
INT-DSWQAGHHGF,hyperion-pharma-1.com,SSE,74,high,2024-07-19T19:37:51.131511,6sense
INT-3NZNEXSHKN,sequoia-industries.com,SSE,63,med,2023-03-22T01:02:59.131511,6sense
INT-MA9NP73W4A,redwood-telecom.com,Netskope,42,med,2024-10-30T00:20:38.131511,6sense
INT-X56UYVK0IV,zenith-ai.com,Talon,15,low,2024-01-26T00:50:16.131511,6sense
INT-MPCADKXBBF,lighthouse-labs.com,Zscaler,72,high,2024-05-18T03:52:30.131511,6sense
INT-PO8A5GB4ZG,truenorth-materials-1.com,enterprise browser security,57,med,2025-02-19T09:34:24.131511,6sense
INT-8MNNBWI0W2,hyperion-analytics.com,enterprise browser security,15,low,2024-08-12T04:05:27.131511,6sense
INT-KVREGRT7QZ,northstar-labs.com,Island,59,med,2022-12-22T03:34:54.131511,6sense
INT-7SODGWLTPI,hyperion-industries-1.com,SSE,68,med,2023-06-01T17:07:19.131511,6sense
INT-AFG11SKJ5Z,ironclad-mining-1.com,CrowdStrike,52,med,2022-11-18T20:08:58.131511,6sense
INT-Q8TOPLU4IU,hyperion-aerospace.com,Talon,51,med,2024-04-18T02:32:34.131511,6sense
INT-GAW2KOXSYC,redwood-telecom.com,zero trust,47,med,2025-07-21T17:00:20.131511,6sense
INT-RHA4HABOYR,zenith-holdings.com,insider risk,99,high,2024-02-09T17:10:01.131511,6sense
INT-W8FJT5BYW9,oakridge-pharma.com,DLP,26,low,2025-06-05T13:44:38.131511,6sense
INT-5ZE0O8NULC,vertex-insurance.com,CASB,82,high,2025-09-09T13:20:29.131511,6sense
