opportunity_id,account_id,amount,is_won,call_count_during,email_count_during,meeting_count_during,total_activity_count_during,campaign_activity_count,activity_velocity,days_to_first_activity,days_since_last_activity,avg_intent_score_during,max_intent_score_during,high_surge_count_during,medium_surge_count_during,unique_intent_topics,had_competitor_intent,had_pricing_intent,total_email_threads,inbound_email_count,outbound_email_count,exec_involvement_count,unique_email_threads,email_response_rate,total_marketing_events_during,total_score_delta_during,avg_score_delta_during,unique_marketing_visitors,webinar_attended_count,content_download_count,demo_request_count,pricing_page_visits,integration_page_visits,case_study_views,total_engagement_duration,contact_count_total,executive_count,vp_count,director_count,manager_count,decision_maker_count,influencer_count,champion_count,zoominfo_exec_count,multi_threading_score,was_customer_before,previous_deal_count,previous_wins_count,previous_losses_count,historical_win_rate,total_historical_revenue,avg_historical_deal_size,days_since_last_win,days_since_last_loss,engagement_trend,velocity_change,intent_momentum,urgency,is_stalled,recent_activity_count,previous_activity_count,recent_intent_score,previous_intent_score,is_renewal,is_expansion,is_new_logo,days_to_renewal,opportunity_type,days_since_first_contact,persona_coverage,committee_diversity_score,has_c_level,has_decision_maker,has_champion,industry_Education,industry_Energy,industry_Finance,industry_Gaming,industry_Healthcare,industry_Manufacturing,industry_Media,industry_Retail,industry_Software,industry_Telecom,employee_band_1-50,employee_band_1001-5000,employee_band_201-500,employee_band_5001+,employee_band_501-1000,employee_band_51-200,region_APJ,region_EMEA,region_LATAM,engagement_intensity,activity_per_contact,decision_maker_ratio,deal_size_category,high_value_new_logo,is_highly_engaged,is_multi_threaded,is_marketing_qualified,is_intent_qualified,has_executive_involvement,velocity_score
OPP-5YD5DAVT,ACC-6G5M0O1Y,59038,1,0,0,0,16,3,0.37209302325581395,6,4,0.0,0,0,0,0,0,0,1,0,1,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,9.0,0,0,0,0,0.0,0,0.0,9999,9999,DECREASING,-0.6,0.0,HIGH,0,2,5,0.0,0.0,0,1,0,1055,expansion,83,0.3333333333333333,0.5,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,4.0,0.75,1.0,0,1,1,0,0,0,1.4883720930232558
OPP-PNVN7Z3D,ACC-I4E88RVM,55772,0,0,0,0,14,4,0.025878003696857672,5,38,46.5,78,1,0,2,1,0,4,0,4,0,4,0.0,4,19,4.75,2,0,0,0,4,0,0,15038,4,0,0,1,2,1,3,0,0,3.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,15.0,LOW,1,2,0,15.0,0.0,0,1,0,9999,expansion,534,0.6666666666666666,0.75,0,1,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0.0,3.5,0.25,1.0,0,1,1,1,1,0,0.10351201478743069
OPP-8DPPS515,ACC-W56KJMHT,63657,0,0,0,0,6,5,0.125,8,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,13,13.0,1,0,0,0,0,0,0,1500,4,0,0,2,0,2,1,0,0,6.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,0.0,LOW,0,1,0,0.0,0.0,0,0,1,9999,new_logo,0,0.3333333333333333,0.5,0,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,1.5,0.5,2.0,1,0,1,0,0,0,0.5
OPP-R5K0TU8V,ACC-I3LD1TBX,188931,0,0,0,0,13,4,0.28888888888888886,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,1,1,0,2,2,0,2,7.5,0,0,0,0,0.0,0,0.0,9999,9999,DECREASING,-0.6666666666666666,0.0,HIGH,0,1,3,0.0,0.0,0,0,1,9999,new_logo,651,0.6666666666666666,0.75,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,3.25,0.5,3.0,1,1,1,0,0,0,1.1555555555555554
OPP-8MJU6271,ACC-2VN10QK3,40813,0,0,0,0,6,0,0.025974025974025976,50,103,50.0,50,0,1,1,0,0,1,0,1,0,1,0.0,1,14,14.0,1,1,0,0,0,0,0,3612,4,0,0,1,1,2,0,0,1,6.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,50.0,LOW,1,2,1,50.0,0.0,0,0,1,389,new_logo,419,1.0,1.0,1,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0.0,1.5,0.5,1.0,0,0,1,0,0,0,0.1038961038961039
OPP-IIUJQ3QY,ACC-33JJF1YS,74797,0,0,0,0,9,3,0.2,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,1,1,2,1,0,1,6.0,0,0,0,0,0.0,0,0.0,9999,9999,DECREASING,-0.3333333333333333,0.0,HIGH,0,2,3,0.0,0.0,0,0,1,9999,new_logo,217,1.0,1.0,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,2.25,0.5,2.0,1,0,1,0,0,0,0.8
OPP-UGY8MTH1,ACC-XKSN7EWF,132911,0,0,0,0,7,4,0.010719754977029096,5,195,43.0,43,0,1,1,1,0,2,0,2,0,2,0.0,3,25,8.333333333333334,3,0,0,0,2,0,0,3540,4,0,0,2,1,1,2,0,0,3.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,1.0,43.0,LOW,1,1,0,43.0,0.0,0,0,1,9999,new_logo,279,0.6666666666666666,0.75,0,1,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,0.0,1.75,0.25,3.0,1,0,1,1,0,0,0.042879019908116385
OPP-1ZOA1FL0,ACC-BW0X7HUB,62223,1,0,0,0,14,2,0.2857142857142857,4,0,0.0,0,0,0,0,0,0,1,0,1,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,1,0,2,6.0,0,0,0,0,0.0,0,0.0,9999,9999,INCREASING,0.5,0.0,LOW,0,3,2,0.0,0.0,0,1,0,688,expansion,295,0.6666666666666666,0.75,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,3.5,0.5,2.0,0,1,1,0,0,0,1.1428571428571428
OPP-TKZLQ1J0,ACC-F51BI9A9,56784,1,0,0,0,8,1,0.14285714285714285,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,0,0,1,4.5,0,0,0,0,0.0,0,0.0,9999,9999,DECREASING,-0.6666666666666666,0.0,HIGH,0,1,3,0.0,0.0,0,0,1,9999,new_logo,0,0.6666666666666666,0.75,1,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.0,2.0,0.25,1.0,0,0,1,0,0,0,0.5714285714285714
OPP-CDM1RLNZ,ACC-7THE04Q0,51853,0,0,0,0,10,2,0.08,0,31,0.0,0,0,0,0,0,0,2,0,2,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,1,1,0,2,1,0,2,7.5,0,1,0,1,0.0,0,11133.0,9999,597,INCREASING,1.0,0.0,LOW,1,2,0,0.0,0.0,0,0,1,9999,new_logo,964,0.6666666666666666,0.75,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,2.5,0.5,1.0,0,0,1,0,0,0,0.32
