feature,importance
days_since_last_activity,116
amount,106
activity_velocity,101
is_new_logo,41
high_value_new_logo,40
days_to_first_activity,35
days_since_first_contact,35
days_to_renewal,35
multi_threading_score,31
total_email_threads,29
velocity_score,27
recent_activity_count,23
is_expansion,21
total_activity_count_during,19
total_engagement_duration,19
decision_maker_count,15
velocity_change,13
total_score_delta_during,11
zoominfo_exec_count,10
manager_count,10
avg_historical_deal_size,9
outbound_email_count,9
influencer_count,8
previous_activity_count,8
vp_count,7
activity_per_contact,6
avg_score_delta_during,5
total_marketing_events_during,5
campaign_activity_count,3
deal_size_category,3
intent_momentum,3
unique_intent_topics,2
recent_intent_score,2
avg_intent_score_during,1
case_study_views,1
pricing_page_visits,1
unique_email_threads,1
director_count,1
contact_count_total,0
unique_marketing_visitors,0
webinar_attended_count,0
exec_involvement_count,0
medium_surge_count_during,0
high_surge_count_during,0
max_intent_score_during,0
previous_deal_count,0
previous_intent_score,0
days_since_last_win,0
days_since_last_loss,0
was_customer_before,0
previous_wins_count,0
previous_losses_count,0
historical_win_rate,0
total_historical_revenue,0
has_decision_maker,0
has_c_level,0
committee_diversity_score,0
persona_coverage,0
decision_maker_ratio,0
is_highly_engaged,0
is_marketing_qualified,0
is_intent_qualified,0
